seqid	type	start	end	strand	id	name	product	ec_number	kegg	dbxref
NA	CDS	53939	54187	+	MGYG000000668_00837	NA	hypothetical protein	NA	-	NA
NA	CDS	9013	10728	+	MGYG000001026_00503	sasA_2	Adaptive-response sensory-kinase SasA	NA	-	NA
NA	CDS	35283	36449	+	MGYG000003282_00025	NA	hypothetical protein	NA	-	NA
NA	CDS	2547	3557	+	MGYG000004269_02235	NA	hypothetical protein	NA	-	NA
NA	CDS	725	1531	-	MGYG000003585_00580	ecfT_2	Energy-coupling factor transporter transmembrane protein EcfT	NA	ko:K16785	NA
NA	CDS	20565	22061	+	MGYG000004903_00773	gerAA	Spore germination protein A1	NA	ko:K06310	NA
NA	CDS	107839	108801	-	MGYG000004677_00211	oppD_4	Oligopeptide transport ATP-binding protein OppD	NA	ko:K02031	NA
NA	CDS	15154	15627	-	MGYG000003620_01324	ftsH	ATP-dependent zinc metalloprotease FtsH	NA	ko:K03798	NA
NA	CDS	73160	73966	+	MGYG000002458_01495	nirC	Nitrite transporter NirC	NA	ko:K02598	NA
NA	CDS	41972	43669	-	MGYG000004129_01122	leuA	2-isopropylmalate synthase	NA	ko:K01649	NA
NA	CDS	30605	31210	-	MGYG000002201_00029	clpP	ATP-dependent Clp protease proteolytic subunit	NA	ko:K01358	NA
NA	CDS	3592	5241	-	MGYG000003091_02422	pfp	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase	NA	c(""""ko:K00895"""", """"ko:K21071"""")	NA
NA	CDS	115834	116547	+	MGYG000002817_03041	sfp_2	4'-phosphopantetheinyl transferase Sfp	NA	-	NA
NA	CDS	418502	419110	+	MGYG000001527_02216	NA	hypothetical protein	NA	-	NA
NA	CDS	1162	2589	-	MGYG000002320_01910	NA	hypothetical protein	NA	-	NA
NA	CDS	4897	5301	-	MGYG000003324_01834	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	263497	264216	-	MGYG000003117_00877	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	102663	104054	+	MGYG000004655_00423	algC	Phosphomannomutase/phosphoglucomutase	NA	ko:K01840	NA
NA	CDS	2687	3067	-	MGYG000002937_02433	glpE_2	Thiosulfate sulfurtransferase GlpE	NA	-	NA
NA	CDS	23975	24781	+	MGYG000004072_01122	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	5884	6492	+	MGYG000002039_00493	NA	hypothetical protein	NA	-	NA
NA	CDS	11	1147	+	MGYG000000639_01550	NA	hypothetical protein	NA	ko:K03525	NA
NA	CDS	12549	13139	+	MGYG000000533_01838	pdtaR	putative transcriptional regulatory protein pdtaR	NA	ko:K22010	NA
NA	CDS	8575	9666	-	MGYG000002229_01159	aroC	Chorismate synthase	NA	ko:K01736	NA
NA	CDS	1455824	1457269	-	MGYG000002404_01456	NA	hypothetical protein	NA	-	NA
NA	CDS	21257	22039	+	MGYG000001178_01291	fabG_1	3-oxoacyl-[acyl-carrier-protein] reductase FabG	NA	ko:K07124	NA
NA	CDS	203091	204665	+	MGYG000001411_00520	NA	hypothetical protein	NA	ko:K02035	NA
NA	CDS	1169281	1169844	-	MGYG000002410_02107	slmA	Nucleoid occlusion factor SlmA	NA	-	NA
NA	CDS	5785	6456	+	MGYG000001184_00768	pglC	Undecaprenyl phosphate N,N'-diacetylbacillosamine 1-phosphate transferase	NA	ko:K00996	NA
NA	CDS	916912	917511	-	MGYG000000012_03149	desR_2	Transcriptional regulatory protein DesR	NA	c(""""ko:K02479"""", """"ko:K07693"""")	NA
NA	CDS	104260	104832	-	MGYG000000864_00500	NA	hypothetical protein	NA	-	NA
NA	CDS	591267	592259	-	MGYG000000360_00455	kamA	L-lysine 2,3-aminomutase	NA	ko:K01843	NA
NA	CDS	850763	852364	+	MGYG000001532_01651	ybiT	putative ABC transporter ATP-binding protein YbiT	NA	ko:K18231	NA
NA	CDS	1128	2768	+	MGYG000003001_01035	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	11938	12489	-	MGYG000002638_01353	nhaP_1	K(+)/H(+) antiporter NhaP	NA	ko:K11105	NA
NA	CDS	55089	55364	-	MGYG000001499_02486	crh_2	HPr-like protein Crh	NA	ko:K11189	NA
NA	CDS	126198	127193	+	MGYG000000559_00517	gpsA	Glycerol-3-phosphate dehydrogenase [NAD(P)+]	NA	ko:K00057	NA
NA	CDS	908699	910366	+	MGYG000001293_00894	rcsC_3	Sensor histidine kinase RcsC	NA	ko:K07636	NA
NA	CDS	49519	49722	+	MGYG000002441_00378	cspLA	Cold shock-like protein CspLA	NA	-	NA
NA	CDS	1477	2139	+	MGYG000003606_00673	NA	hypothetical protein	NA	-	NA
NA	CDS	3747	4952	+	MGYG000004113_01745	tufB	Elongation factor Tu-B	NA	ko:K02358	NA
NA	CDS	123413	124936	+	MGYG000002455_04203	NA	hypothetical protein	NA	-	NA
NA	CDS	272159	273850	+	MGYG000002282_03091	NA	hypothetical protein	NA	ko:K21572	NA
NA	CDS	9234	9554	-	MGYG000001082_01178	NA	hypothetical protein	NA	-	NA
NA	CDS	18834	19085	-	MGYG000000986_00609	NA	hypothetical protein	NA	-	NA
NA	CDS	24001	25815	+	MGYG000000131_02443	NA	hypothetical protein	NA	ko:K07718	NA
NA	CDS	5077	5427	+	MGYG000004709_01024	idi	Isopentenyl-diphosphate Delta-isomerase	NA	-	NA
NA	CDS	205359	206474	-	MGYG000001538_00440	dgaE	D-glucosaminate-6-phosphate ammonia lyase	NA	ko:K01042	NA
NA	CDS	261	1043	-	MGYG000000691_01513	trmD	tRNA (guanine-N(1)-)-methyltransferase	NA	ko:K00554	NA
NA	CDS	1858	2376	-	MGYG000000967_01470	xynA1	Endo-1,4-beta-xylanase A	NA	-	NA
NA	CDS	92012	92761	+	MGYG000003378_00625	ompR_1	Transcriptional regulatory protein OmpR	NA	ko:K02483	NA
NA	CDS	440741	441280	-	MGYG000001520_02778	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	3455	4444	+	MGYG000000215_02868	haeIIIM_4	Modification methylase HaeIII	NA	ko:K00558	NA
NA	CDS	1354418	1355335	-	MGYG000001488_01451	dnaI_2	Primosomal protein DnaI	NA	ko:K11144	NA
NA	CDS	33264	34082	-	MGYG000004072_01377	rhaR_18	HTH-type transcriptional activator RhaR	NA	-	NA
NA	CDS	21946	22980	-	MGYG000001606_02141	dctP	Solute-binding protein	NA	-	NA
NA	CDS	30328	31272	-	MGYG000003063_00289	yhaM	3'-5' exoribonuclease YhaM	NA	ko:K03698	NA
NA	CDS	184294	184986	+	MGYG000000606_01555	NA	hypothetical protein	NA	ko:K19302	NA
NA	CDS	343	2130	+	MGYG000003207_00606	pepF1	Oligoendopeptidase F, plasmid	NA	ko:K08602	NA
NA	CDS	27144	29081	-	MGYG000002573_01087	ftsH	ATP-dependent zinc metalloprotease FtsH	NA	ko:K03798	NA
NA	CDS	19785	20138	+	MGYG000003339_00239	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	327732	328640	+	MGYG000002363_04757	NA	hypothetical protein	NA	ko:K12981	NA
NA	CDS	5801	6178	+	MGYG000000680_00281	NA	hypothetical protein	NA	ko:K02051	NA
NA	CDS	54669	56570	-	MGYG000004747_00224	purR_1	HTH-type transcriptional repressor PurR	NA	ko:K00852	NA
NA	CDS	4516	5337	+	MGYG000004433_01580	pstS	Phosphate-binding protein PstS	NA	ko:K02040	NA
NA	CDS	3481	4071	+	MGYG000004537_00603	aaxB	Pyruvoyl-dependent arginine decarboxylase AaxB	NA	ko:K02626	NA
NA	CDS	95589	96413	+	MGYG000000069_02277	lgt_2	Prolipoprotein diacylglyceryl transferase	NA	ko:K13292	NA
NA	CDS	817	2241	+	MGYG000003441_01016	ffh	Signal recognition particle protein	NA	ko:K03106	NA
NA	CDS	40840	41958	+	MGYG000004122_00038	NA	hypothetical protein	NA	-	NA
NA	CDS	393979	394923	-	MGYG000001344_01024	NA	hypothetical protein	NA	-	NA
NA	CDS	5018	5758	+	MGYG000004039_02664	glnQ_3	Glutamine transport ATP-binding protein GlnQ	NA	c(""""ko:K17074"""", """"ko:K17076"""")	NA
NA	CDS	223760	224428	+	MGYG000001526_00976	ktrA_2	Ktr system potassium uptake protein A	NA	ko:K03499	NA
NA	CDS	1230561	1231160	-	MGYG000001513_02657	cheC	CheY-P phosphatase CheC	NA	ko:K03410	NA
NA	CDS	465	2690	+	MGYG000004433_02388	pcrA	ATP-dependent DNA helicase PcrA	NA	ko:K03657	NA
NA	CDS	44755	45384	-	MGYG000000038_01340	NA	hypothetical protein	NA	-	NA
NA	CDS	7497	9146	+	MGYG000003887_00403	NA	hypothetical protein	NA	-	NA
NA	CDS	225	1499	-	MGYG000000630_01702	aroA	3-phosphoshikimate 1-carboxyvinyltransferase	NA	ko:K00800	NA
NA	CDS	1094	1459	+	MGYG000002255_01250	NA	hypothetical protein	NA	-	NA
NA	CDS	55346	55645	+	MGYG000000268_02267	NA	hypothetical protein	NA	-	NA
NA	CDS	6129	7292	-	MGYG000003096_00841	fldC_1	(R)-phenyllactyl-CoA dehydratase beta subunit	NA	-	NA
NA	CDS	15873	16052	+	MGYG000003280_00226	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	100210	101061	+	MGYG000002339_00657	lrp	Leucine-rich protein	NA	-	NA
NA	CDS	18449	18916	-	MGYG000001065_02016	rimP	Ribosome maturation factor RimP	NA	ko:K09748	NA
NA	CDS	96613	97257	-	MGYG000001929_00079	NA	hypothetical protein	NA	c(""""ko:K01921"""", """"ko:K08884"""", """"ko:K12132"""")	NA
NA	CDS	268922	269545	-	MGYG000001425_01060	ogt	Methylated-DNA--protein-cysteine methyltransferase	NA	c(""""ko:K00567"""", """"ko:K13531"""")	NA
NA	CDS	142	705	-	MGYG000003240_00989	frr	Ribosome-recycling factor	NA	ko:K02838	NA
NA	CDS	49890	51284	-	MGYG000001725_00054	asnS	Asparagine--tRNA ligase	NA	ko:K01893	NA
NA	CDS	3200	3481	+	MGYG000001083_00821	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	46798	47217	-	MGYG000000561_01790	NA	hypothetical protein	NA	-	NA
NA	CDS	294	1274	-	MGYG000002589_02561	NA	hypothetical protein	NA	ko:K07301	NA
NA	CDS	10086	11723	-	MGYG000003711_02228	NA	hypothetical protein	NA	-	NA
NA	CDS	14848	15240	-	MGYG000001183_01771	panD	Aspartate 1-decarboxylase	NA	ko:K01579	NA
NA	CDS	23	736	+	MGYG000000971_02534	rsfS	Ribosomal silencing factor RsfS	NA	ko:K09710	NA
NA	CDS	791	1138	-	MGYG000004249_01365	NA	hypothetical protein	NA	-	NA
NA	CDS	165	1415	-	MGYG000000541_00770	mnmE_1	tRNA modification GTPase MnmE	NA	-	NA
NA	CDS	8868	10079	+	MGYG000002686_00841	mrdB	Peptidoglycan glycosyltransferase MrdB	NA	ko:K05837	NA
NA	CDS	714	1913	-	MGYG000000852_02250	lpxB	Lipid-A-disaccharide synthase	NA	ko:K00748	NA
NA	CDS	6291	6983	-	MGYG000003468_00620	NA	hypothetical protein	NA	-	NA
NA	CDS	266176	266841	+	MGYG000003387_01976	NA	Putative phosphoribosyl transferase	NA	ko:K07100	NA
NA	CDS	21328	21561	+	MGYG000002379_00018	NA	hypothetical protein	NA	ko:K03724	NA
NA	CDS	68	388	-	MGYG000000691_01676	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	24625	27282	+	MGYG000004538_00764	NA	hypothetical protein	NA	-	NA
NA	CDS	1998	5414	-	MGYG000004566_00080	NA	hypothetical protein	NA	-	NA
NA	CDS	31675	33015	-	MGYG000004114_02287	NA	hypothetical protein	NA	ko:K01193	NA
NA	CDS	32608	33276	-	MGYG000003097_01828	NA	Pyridoxal phosphate homeostasis protein	NA	ko:K06997	NA
NA	CDS	135519	136484	-	MGYG000000219_01652	rhaR_5	HTH-type transcriptional activator RhaR	NA	-	NA
NA	CDS	32739	33356	+	MGYG000003164_01357	flr	Flavoredoxin	NA	-	NA
NA	CDS	1574	2800	-	MGYG000004513_02265	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	4784	5458	+	MGYG000004271_01909	spmA	Spore maturation protein A	NA	ko:K06373	NA
NA	CDS	31	399	+	MGYG000004896_02608	ldh	L-lactate dehydrogenase	NA	c(""""ko:K00016"""", """"ko:K00024"""")	NA
NA	CDS	6273	8375	+	MGYG000000574_00110	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	71789	73195	+	MGYG000001925_00850	btuD_1	Vitamin B12 import ATP-binding protein BtuD	NA	c(""""ko:K02010"""", """"ko:K02017"""", """"ko:K10112"""", """"ko:K11072"""")	NA
NA	CDS	13164	14771	-	MGYG000004039_02414	hcp	Hydroxylamine reductase	NA	ko:K05601	NA
NA	CDS	18278	19438	-	MGYG000003820_01503	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	1897	2109	-	MGYG000004353_01403	NA	hypothetical protein	NA	ko:K09779	NA
NA	CDS	385	585	+	MGYG000001679_01271	NA	hypothetical protein	NA	-	NA
NA	CDS	63293	63826	+	MGYG000001412_03724	NA	hypothetical protein	NA	-	NA
NA	CDS	878	1159	+	MGYG000002857_01938	NA	hypothetical protein	NA	-	NA
NA	CDS	8005	8469	+	MGYG000003164_02310	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	72568	73851	-	MGYG000000198_05099	mepA_28	Multidrug export protein MepA	NA	-	NA
NA	CDS	10093	10809	+	MGYG000000625_01485	tsaB	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB	NA	ko:K14742	NA
NA	CDS	23303	24286	-	MGYG000001661_01070	NA	hypothetical protein	NA	-	NA
NA	CDS	633702	633947	-	MGYG000001511_01306	yidD	Putative membrane protein insertion efficiency factor	NA	ko:K08998	NA
NA	CDS	2691	3959	+	MGYG000003162_00619	mgl_1	L-methionine gamma-lyase	NA	ko:K01740	NA
NA	CDS	37326	37661	-	MGYG000003370_00352	NA	hypothetical protein	NA	-	NA
NA	CDS	1209	2894	-	MGYG000000817_00789	NA	hypothetical protein	NA	-	NA
NA	CDS	732	1277	+	MGYG000002063_01539	NA	hypothetical protein	NA	ko:K03088	NA
NA	CDS	7415	9394	+	MGYG000000689_01023	fbp	Fructose-1,6-bisphosphatase class 3	NA	ko:K04041	NA
NA	CDS	51347	52162	+	MGYG000000203_02829	NA	Polyphenol oxidase	NA	ko:K05810	NA
NA	CDS	165004	165642	-	MGYG000000108_03148	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	3374	3961	-	MGYG000002728_01061	NA	hypothetical protein	NA	-	NA
NA	CDS	260477	260602	+	MGYG000004830_00204	NA	hypothetical protein	NA	-	NA
NA	CDS	787	1653	-	MGYG000003218_00944	btuD_3	Vitamin B12 import ATP-binding protein BtuD	NA	ko:K01990	NA
NA	CDS	10661	11593	-	MGYG000004028_00589	gsiC_2	Glutathione transport system permease protein GsiC	NA	ko:K02033	NA
NA	CDS	1283	1681	-	MGYG000001570_01540	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	2809	4731	+	MGYG000003568_00004	NA	hypothetical protein	NA	-	NA
NA	CDS	132914	134254	-	MGYG000001422_00114	gltD	Glutamate synthase [NADPH] small chain	NA	ko:K00266	NA
NA	CDS	32806	34281	+	MGYG000000200_01815	malQ_2	4-alpha-glucanotransferase	NA	ko:K00705	NA
NA	CDS	51	215	+	MGYG000002868_00422	NA	hypothetical protein	NA	ko:K01000	NA
NA	CDS	69813	70694	-	MGYG000000671_00150	NA	hypothetical protein	NA	-	NA
NA	CDS	77301	78584	+	MGYG000000561_01273	NA	hypothetical protein	NA	-	NA
NA	CDS	24219	25523	-	MGYG000001108_00903	NA	hypothetical protein	NA	-	NA
NA	CDS	33707	35497	+	MGYG000001538_00853	NA	hypothetical protein	NA	ko:K06330	NA
NA	CDS	82684	83280	+	MGYG000000441_00704	clpP_2	ATP-dependent Clp protease proteolytic subunit	NA	ko:K01358	NA
NA	CDS	34959	36026	-	MGYG000001096_00744	era	GTPase Era	NA	ko:K03595	NA
NA	CDS	18088	18327	-	MGYG000004230_00398	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	3706	4305	+	MGYG000003392_00228	desR	Transcriptional regulatory protein DesR	NA	c(""""ko:K02479"""", """"ko:K07693"""")	NA
NA	CDS	4626703	4626936	-	MGYG000001548_04246	nrdH	Glutaredoxin-like protein NrdH	NA	-	NA
NA	CDS	2551	3165	+	MGYG000003771_02586	NA	hypothetical protein	NA	ko:K00969	NA
NA	CDS	152760	154802	+	MGYG000002437_03775	hutU_4	Urocanate hydratase	NA	ko:K01712	NA
NA	CDS	154	474	-	MGYG000002065_00447	atl	DNA base-flipping protein	NA	-	NA
NA	CDS	3416	3991	-	MGYG000003900_00842	NA	hypothetical protein	NA	ko:K03297	NA
NA	CDS	116	1231	+	MGYG000000540_01349	NA	hypothetical protein	NA	-	NA
NA	CDS	2629830	2631371	-	MGYG000002495_02446	ppx	Exopolyphosphatase	NA	ko:K01524	NA
NA	CDS	13207	14604	+	MGYG000001687_00771	norM	Multidrug resistance protein NorM	NA	-	NA
NA	CDS	33981	35519	+	MGYG000001564_02616	rlmD	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD	NA	ko:K03215	NA
NA	CDS	185211	185627	-	MGYG000000120_01737	NA	hypothetical protein	NA	-	NA
NA	CDS	20031	21608	+	MGYG000003248_01829	ybiT	putative ABC transporter ATP-binding protein YbiT	NA	-	NA
NA	CDS	23467	24642	+	MGYG000000930_01061	NA	hypothetical protein	NA	-	NA
NA	CDS	20226	20477	-	MGYG000004564_01749	acpP	Acyl carrier protein	NA	ko:K02078	NA
NA	CDS	46071	46529	-	MGYG000003534_00189	rimP	Ribosome maturation factor RimP	NA	ko:K09748	NA
NA	CDS	102898	103197	-	MGYG000000197_00477	NA	hypothetical protein	NA	-	NA
NA	ncRNA	4661	5056	+	MGYG000001662_113_ncRNA9	NA	Bacterial small subunit ribosomal RNA	NA	character(0)	NA
NA	CDS	3247	4110	-	MGYG000004070_00963	rbgA	Ribosome biogenesis GTPase A	NA	ko:K14540	NA
NA	CDS	1571	1825	-	MGYG000001073_00594	NA	hypothetical protein	NA	-	NA
NA	CDS	2231	2539	-	MGYG000000588_00155	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	374093	374689	-	MGYG000003964_00290	dnaJ_2	Chaperone protein DnaJ	NA	ko:K03686	NA
NA	CDS	10051	10545	-	MGYG000004856_00989	hisE	Phosphoribosyl-ATP pyrophosphatase	NA	ko:K01523	NA
NA	CDS	1208958	1210721	+	MGYG000001418_01220	NA	hypothetical protein	NA	-	NA
NA	CDS	42395	43546	-	MGYG000000951_00436	fucO	Lactaldehyde reductase	NA	ko:K00048	NA
NA	CDS	23719	24573	-	MGYG000001814_01949	NA	hypothetical protein	NA	ko:K03406	NA
NA	CDS	343769	344101	+	MGYG000002299_01079	NA	hypothetical protein	NA	ko:K06193	NA
NA	CDS	6829	7755	+	MGYG000004622_01855	NA	hypothetical protein	NA	-	NA
NA	CDS	4018	4731	-	MGYG000003674_00093	NA	hypothetical protein	NA	-	NA
NA	CDS	97257	97895	+	MGYG000001379_01251	resA	Thiol-disulfide oxidoreductase ResA	NA	-	NA
NA	CDS	14680	16845	-	MGYG000000644_01221	dpp5_1	Dipeptidyl-peptidase 5	NA	-	NA
NA	CDS	519	1697	-	MGYG000004897_02492	purH	Bifunctional purine biosynthesis protein PurH	NA	ko:K00602	NA
NA	CDS	42064	42219	+	MGYG000000364_00027	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	21	566	+	MGYG000000589_00756	NA	hypothetical protein	NA	ko:K07003	NA
NA	CDS	485	1072	-	MGYG000004098_01416	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	107	724	+	MGYG000001944_01830	malL_2	Oligo-1,6-glucosidase	NA	ko:K01187	NA
NA	CDS	73269	73424	+	MGYG000000760_01652	NA	hypothetical protein	NA	-	NA
NA	CDS	27403	27948	-	MGYG000004194_00685	hpt	Hypoxanthine-guanine phosphoribosyltransferase	NA	ko:K00760	NA
NA	CDS	56842	57495	+	MGYG000002933_00469	fliA	RNA polymerase sigma factor FliA	NA	ko:K03088	NA
NA	CDS	30697	31878	+	MGYG000004108_00274	NA	hypothetical protein	NA	-	NA
NA	CDS	2443576	2444847	+	MGYG000002344_02330	gdhA_2	Glutamate dehydrogenase	NA	c(""""ko:K00261"""", """"ko:K00262"""")	NA
NA	CDS	13127	13492	-	MGYG000002303_01354	ndoA_1	Endoribonuclease EndoA	NA	ko:K07171	NA
NA	CDS	27127	28731	+	MGYG000003811_00026	groL2	60 kDa chaperonin 2	NA	ko:K04077	NA
NA	CDS	56	628	-	MGYG000000157_03308	NA	Manganese catalase	NA	ko:K06334	NA
NA	CDS	14290	15960	-	MGYG000001883_00698	fhs	Formate--tetrahydrofolate ligase	NA	ko:K01938	NA
NA	CDS	80719	83169	+	MGYG000000476_01374	NA	hypothetical protein	NA	ko:K05989	NA
NA	CDS	1154	1540	-	MGYG000003708_02937	NA	hypothetical protein	NA	-	NA
NA	CDS	94967	95974	+	MGYG000000134_02318	ccpA_2	Catabolite control protein A	NA	ko:K02529	NA
NA	CDS	37580	37768	-	MGYG000001352_02282	NA	hypothetical protein	NA	ko:K01537	NA
NA	CDS	18927	20141	-	MGYG000000661_00137	NA	hypothetical protein	NA	-	NA
NA	CDS	4369	5619	+	MGYG000004281_03347	hutI	Imidazolonepropionase	NA	ko:K01468	NA
NA	CDS	51597	52217	-	MGYG000004172_02114	NA	hypothetical protein	NA	-	NA
NA	CDS	4745	5275	-	MGYG000003794_01689	NA	Inorganic triphosphatase	NA	ko:K01768	NA
NA	CDS	59645	60418	-	MGYG000000223_03006	ppnKA	NAD kinase 1	NA	ko:K00858	NA
NA	CDS	3470	4966	+	MGYG000002107_00829	obg	GTPase Obg	NA	ko:K03979	NA
NA	CDS	83153	85396	+	MGYG000000312_00282	gyrA_1	DNA gyrase subunit A	NA	ko:K02469	NA
NA	CDS	2373	3080	-	MGYG000003622_00258	yfiC	tRNA1(Val) (adenine(37)-N6)-methyltransferase	NA	ko:K15460	NA
NA	CDS	38111	41914	-	MGYG000004031_01480	dnaE	DNA polymerase III subunit alpha	NA	ko:K02337	NA
NA	CDS	125916	126992	-	MGYG000000075_02210	NA	hypothetical protein	NA	-	NA
NA	CDS	380335	381741	+	MGYG000002359_03275	caiA_2	Crotonobetainyl-CoA dehydrogenase	NA	-	NA
NA	CDS	988	1392	+	MGYG000000162_03098	NA	hypothetical protein	NA	-	NA
NA	CDS	6317	6463	+	MGYG000001927_02245	NA	hypothetical protein	NA	character(0)	NA
NA	CDS	16665	17567	+	MGYG000003819_01939	cynR_4	HTH-type transcriptional regulator CynR	NA	-	NA
NA	CDS	11770	12630	-	MGYG000000287_01152	btuD_8	Vitamin B12 import ATP-binding protein BtuD	NA	-	NA
NA	CDS	52853	53911	+	MGYG000004052_01559	tsaD_1	tRNA N6-adenosine threonylcarbamoyltransferase	NA	ko:K01409	NA
NA	CDS	257499	259298	+	MGYG000001378_02399	NA	hypothetical protein	NA	ko:K21572	NA
NA	CDS	1561	2487	+	MGYG000000440_01348	NA	Gamma-D-glutamyl-L-diamino acid endopeptidase 1	NA	ko:K01308	NA
NA	CDS	11761	12174	+	MGYG000002816_04437	hns_2	DNA-binding protein H-NS	NA	c(""""ko:K03746"""", """"ko:K11685"""")	NA
NA	CDS	220	1881	+	MGYG000003621_01393	sglT_1	Sodium/glucose cotransporter	NA	ko:K03307	NA
NA	CDS	96428	96925	-	MGYG000004018_00589	NA	hypothetical protein	NA	ko:K07082	NA
NA	CDS	369	1550	-	MGYG000001035_01799	bcr	Bicyclomycin resistance protein	NA	ko:K07552	NA
NA	CDS	1099	2535	+	MGYG000001740_00764	ffh	Signal recognition particle protein	NA	ko:K03106	NA
NA	CDS	24168	25601	-	MGYG000001431_00623	era_2	GTPase Era	NA	-	NA
NA	CDS	3517	3678	-	MGYG000001998_00779	rd	Rubredoxin	NA	-	NA
NA	CDS	109004	109579	-	MGYG000000025_00101	NA	hypothetical protein	NA	-	NA
